"Rank","Player","Team","Position","Points","Games","Avg"
"431","Taiwan Jones","BUF","RB","0.0","6","0.0"
"431","Brian Hill","ATL","RB","0.0","1","0.0"
"431","Jaydon Mickens","JAC","WR","0.0","6","0.0"
"431","Detrez Newsome","LAC","RB","0.0","2","0.0"
"431","Matt Slater","NE","WR","0.0","6","0.0"
"431","Freddie Martino","FA","WR","0.0","1","0.0"
"431","Rigoberto Sanchez","IND","K","0.0","10","0.0"
"431","Pharoh Cooper","LAR","WR","0.0","2","0.0"
"431","Dare Ogunbowale","TB","RB","0.0","1","0.0"
"431","Lance Lenoir","DAL","WR","0.0","1","0.0"
"431","Janarion Grant","BAL","WR","0.0","2","0.0"
"431","Keon Hatcher","OAK","WR","0.0","1","0.0"
"431","Trevor Davis","GB","WR","0.0","1","0.0"
"431","Richard Rodgers","PHI","TE","0.0","1","0.0"
"431","Brandon Wilson","CIN","RB","0.0","8","0.0"
"431","Sean Culkin","LAC","TE","0.0","1","0.0"
"431","Jehu Chesson","WAS","WR","0.0","3","0.0"
"431","Darrell Daniels","SEA","TE","0.0","4","0.0"
"431","Brandon Tate","FA","WR","0.0","1","0.0"
"431","Geremy Davis","LAC","WR","0.0","2","0.0"
"431","Jeremy Sprinkle","WAS","TE","0.0","5","0.0"
"431","Gabe Holmes","ARI","TE","0.0","1","0.0"
"431","Mason Schreck","CIN","TE","0.0","1","0.0"
"431","Brian Parker","DEN","TE","0.0","3","0.0"
"431","Brice Butler","MIA","WR","0.0","1","0.0"
"431","Joe Webb","HOU","QB","0.0","2","0.0"
"431","Kyle Sloter","MIN","QB","0.0","1","0.0"
"431","Brian Hoyer","NE","QB","0.0","3","0.0"
"431","Javon Wims","CHI","WR","0.0","1","0.0"
"431","Tanner McEvoy","FA","WR","0.0","1","0.0"
"431","Durham Smythe","MIA","TE","0.0","3","0.0"
"431","Ryan Hewitt","IND","RB","0.0","2","0.0"
"431","Justin Davis","LAR","RB","0.0","2","0.0"
"431","Gregory Howell","HOU","RB","0.0","5","0.0"
"431","Senorise Perry","MIA","RB","0.0","6","0.0"
"431","Cole Wick","SF","TE","0.0","2","0.0"
"431","Quadree Henderson","NYG","WR","0.0","4","0.0"
"431","Geno Smith","LAC","QB","0.0","2","0.0"
"431","Beau Brinkley","TEN","TE","0.0","4","0.0"
"432","Chad Kelly","FA","QB","-0.1","1","-0.1"
"432","Brandon Weeden","HOU","QB","-0.1","1","-0.1"
"433","Chase Daniel","CHI","QB","-0.5","2","-0.3"
"434","Robert Turbin","FA","RB","-0.7","2","-0.4"
"434","Teddy Bridgewater","NO","QB","-0.7","3","-0.2"
"435","Jacoby Brissett","IND","QB","-0.8","3","-0.3"
"436","Rod Streater","CLE","WR","-1.1","1","-1.1"
"437","Matt Cassel","DET","QB","-1.5","1","-1.5"
"438","DeShone Kizer","GB","QB","-1.8","1","-1.8"
"439","J.J. Jones","NYJ","WR","-2.0","3","-0.7"
"439","Kaelin Clay","FA","WR","-2.0","2","-1.0"
"439","Riley McCarron","FA","WR","-2.0","1","-2.0"
""
""
