Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Daniel Brown (11660152),Daniel Brown,11660152,TE/FLEX,2500,CHI@DET 11/22/2018 12:30PM ET,CHI,0
TE,Ben Braunecker (11660154),Ben Braunecker,11660154,TE/FLEX,2500,CHI@DET 11/22/2018 12:30PM ET,CHI,0.49
TE,Luke Willson (11660156),Luke Willson,11660156,TE/FLEX,2500,CHI@DET 11/22/2018 12:30PM ET,DET,2.06
TE,Michael Roberts (11660158),Michael Roberts,11660158,TE/FLEX,2500,CHI@DET 11/22/2018 12:30PM ET,DET,5.4
TE,Levine Toilolo (11660160),Levine Toilolo,11660160,TE/FLEX,2500,CHI@DET 11/22/2018 12:30PM ET,DET,1.2
TE,Dalton Schultz (11660162),Dalton Schultz,11660162,TE/FLEX,2500,WAS@DAL 11/22/2018 04:30PM ET,DAL,1.26
TE,Blake Jarwin (11660164),Blake Jarwin,11660164,TE/FLEX,2500,WAS@DAL 11/22/2018 04:30PM ET,DAL,0.82
TE,Rico Gathers (11660166),Rico Gathers,11660166,TE/FLEX,2500,WAS@DAL 11/22/2018 04:30PM ET,DAL,0.73
TE,Jeremy Sprinkle (11660168),Jeremy Sprinkle,11660168,TE/FLEX,2500,WAS@DAL 11/22/2018 04:30PM ET,WAS,0
TE,Vernon Davis (11660178),Vernon Davis,11660178,TE/FLEX,2500,WAS@DAL 11/22/2018 04:30PM ET,WAS,4.42
TE,Logan Paulsen (11660170),Logan Paulsen,11660170,TE/FLEX,2500,ATL@NO 11/22/2018 08:20PM ET,ATL,2
TE,Eric Saubert (11660172),Eric Saubert,11660172,TE/FLEX,2500,ATL@NO 11/22/2018 08:20PM ET,ATL,0.63
TE,Josh Hill (11660174),Josh Hill,11660174,TE/FLEX,2500,ATL@NO 11/22/2018 08:20PM ET,NO,3.4
TE,Dan Arnold (11660176),Dan Arnold,11660176,TE/FLEX,2500,ATL@NO 11/22/2018 08:20PM ET,NO,2.42
DST,Lions  (11660183),Lions ,11660183,DST,2400,CHI@DET 11/22/2018 12:30PM ET,DET,5.1
DST,Saints  (11660184),Saints ,11660184,DST,2300,ATL@NO 11/22/2018 08:20PM ET,NO,5.5
DST,Falcons  (11660185),Falcons ,11660185,DST,2000,ATL@NO 11/22/2018 08:20PM ET,ATL,2.8
